"NGenes","Direction","PValue","FDR","set","pah_camera_z"
72,"Down",0.000440810009028781,0.0393916944275202,"GOBP_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",-3.51436298576509
10,"Down",0.000480907958208358,0.0420398301901941,"GOBP_POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION",-3.49117121720601
73,"Up",0.000494630932259655,0.0420398301901941,"GOBP_PLATELET_AGGREGATION",3.48364725638442
32,"Down",0.000494777086938422,0.0420398301901941,"GOBP_B_CELL_HOMEOSTASIS",-3.48356817615214
302,"Down",0.000557916935655821,0.0466400560887761,"GOBP_RIBOSOME_BIOGENESIS",-3.45128845457084
458,"Down",0.000583709988933515,0.0480217281371811,"GOBP_MRNA_PROCESSING",-3.43907291742326
23,"Down",0.000657694604263238,0.0532629864671306,"GOBP_THYMIC_T_CELL_SELECTION",-3.40663315509815
33,"Down",0.000686987487502136,0.0547793253495934,"GOBP_INTERLEUKIN_4_PRODUCTION",-3.39472028571581
51,"Down",0.000706856301603956,0.0548899432073732,"GOBP_P38MAPK_CASCADE",-3.38690589156395
17,"Down",0.000712087721520484,0.0548899432073732,"GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY",-3.38488233528477
18,"Down",0.000720145888115257,0.0548899432073732,"GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE",-3.38179223492091
60,"Down",0.000750987931800993,0.0556153477588152,"GOBP_INTERLEUKIN_2_PRODUCTION",-3.37025448704394
175,"Down",0.000751123739748614,0.0556153477588152,"GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY",-3.37020466280934
50,"Down",0.00080808220194146,0.0589900007417265,"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION",-3.35001144914025
13,"Up",0.000873976082823308,0.0629141394065723,"GOBP_SEROTONIN_UPTAKE",3.32823659617849
27,"Down",0.000906670025180221,0.0643735717877957,"GOBP_MATURATION_OF_LSU_RRNA",-3.31799224251408
25,"Down",0.000923416988993541,0.064676625053426,"GOBP_MRNA_CIS_SPLICING_VIA_SPLICEOSOME",-3.31287664133676
58,"Up",0.00112110305207055,0.0774756949184223,"GOBP_ONE_CARBON_COMPOUND_TRANSPORT",3.25822796845724
119,"Down",0.00117140764021174,0.0784577694635084,"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS",-3.24575217824681
28,"Down",0.00117862950298844,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION",-3.2440019235524
14,"Down",0.00118683259309548,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",-3.24202584376727
15,"Down",0.00119662182393791,0.0784577694635084,"GOBP_FORMATION_OF_CYTOPLASMIC_TRANSLATION_INITIATION_COMPLEX",-3.23968412003244
27,"Down",0.0012110016509899,0.0784577694635084,"GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING",-3.23627615450484
15,"Down",0.00127785068721253,0.081054585604757,"GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",-3.22090820771219
177,"Down",0.0012823607986861,0.081054585604757,"GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS",-3.21989830287181
133,"Down",0.00132432515447525,0.0826985213933157,"GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS",-3.21065567287592
123,"Down",0.00137088452814805,0.084586839397516,"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",-3.20071205695493
42,"Down",0.00142616303618426,0.0863222600697148,"GOBP_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION",-3.18930300708954
81,"Down",0.00143231996256907,0.0863222600697148,"GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION",-3.18805761024948
71,"Down",0.00158081722253936,0.0941767317749597,"GOBP_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION",-3.15942326603756
33,"Down",0.00164399442368376,0.0968275352040107,"GOBP_NEGATIVE_REGULATION_OF_DEPHOSPHORYLATION",-3.14798622139325
24,"Down",0.00172090915719843,0.100218788334376,"GOBP_U2_TYPE_PRESPLICEOSOME_ASSEMBLY",-3.13459603271193
285,"Down",0.00181581344070496,0.104570678479709,"GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS",-3.11881270880247
32,"Down",0.00191290073492477,0.108951258341924,"GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE",-3.10343217805651
16,"Up",0.00196217117399936,0.110000110922277,"GOBP_REGULATION_OF_T_CELL_CHEMOTAXIS",3.09589910137824
54,"Down",0.00199423667342639,0.110000110922277,"GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-3.09108927194592
79,"Down",0.00201600949462957,0.110000110922277,"GOBP_REGULATION_OF_MIRNA_METABOLIC_PROCESS",-3.08786364535965
97,"Up",0.00202271689932411,0.110000110922277,"GOBP_HOMOTYPIC_CELL_CELL_ADHESION",3.08687638883228
36,"Down",0.0020455857746036,0.110000110922277,"GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION",-3.08353277372967
16,"Up",0.00205865536551435,0.110000110922277,"GOBP_I_KAPPAB_PHOSPHORYLATION",3.08163726317152
11,"Down",0.00208216116154194,0.110120829594611,"GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_5_PRODUCTION",-3.07825578024439
98,"Down",0.00228076724092548,0.119406228380978,"GOBP_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",-3.05100506909625
47,"Up",0.00233060224471499,0.120795114343578,"GOBP_REGULATION_OF_PLATELET_ACTIVATION",3.04450930002131
13,"Down",0.0024058221842181,0.123459172087152,"GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",-3.03494166077313
22,"Up",0.00260010185486375,0.130112244168551,"GOBP_SEROTONIN_TRANSPORT",3.01144186497721
70,"Down",0.0026067778839693,0.130112244168551,"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION",-3.01066323709366
132,"Down",0.00261078012609093,0.130112244168551,"GOBP_POSITIVE_REGULATION_OF_TRANSLATION",-3.01019732766472
167,"Down",0.00270980403798731,0.133761088846555,"GOBP_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR",-2.99887281060539
79,"Down",0.00280362354339859,0.137086611560707,"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR",-2.98848707926653
42,"Down",0.00286524789332149,0.138790465711077,"GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR",-2.98183669706101
85,"Down",0.00307658644797766,0.147647662591372,"GOBP_REGULATION_OF_NCRNA_TRANSCRIPTION",-2.95998037024199
53,"Down",0.00314088381908765,0.148519556211492,"GOBP_T_CELL_SELECTION",-2.95360240353291
71,"Down",0.00315206466974034,0.148519556211492,"GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME",-2.9525054881515
18,"Down",0.00323825607200114,0.151206137127765,"GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS",-2.94416662439662
18,"Down",0.00329664820178265,0.151313191262055,"GOBP_PERK_MEDIATED_UNFOLDED_PROTEIN_RESPONSE",-2.93863145825439
32,"Down",0.00333692810715167,0.151313191262055,"GOBP_T_HELPER_17_CELL_DIFFERENTIATION",-2.93486502149571
13,"Up",0.00334695720250542,0.151313191262055,"GOBP_THROMBIN_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY",2.9339336751255
201,"Down",0.00335732529329275,0.151313191262055,"GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",-2.93297351606829
103,"Down",0.00352769507257727,0.157621065182483,"GOBP_CELLULAR_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN",-2.91757083982357
15,"Down",0.00359262005663193,0.15826836753079,"GOBP_POSITIVE_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY",-2.91187879899479
84,"Down",0.00361961311793095,0.15826836753079,"GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN",-2.90953978724994
17,"Down",0.00363379041793632,0.15826836753079,"GOBP_MAMMARY_GLAND_EPITHELIAL_CELL_DIFFERENTIATION",-2.90831763819266
14,"Down",0.00379805976753706,0.164044531459538,"GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION",-2.89446439827847
28,"Down",0.003835143459401,0.164277260744425,"GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE",-2.89141252076407
26,"Down",0.00390423543451444,0.165381257299475,"GOBP_PHOTOPERIODISM",-2.8857972817597
72,"Down",0.00392473367698927,0.165381257299475,"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",-2.8841487105353
21,"Down",0.00433237673744711,0.181086359920874,"GOBP_POSITIVE_REGULATION_OF_T_HELPER_CELL_DIFFERENTIATION",-2.85288888382257
36,"Down",0.00443499805235692,0.183892759242927,"GOBP_HEAD_MORPHOGENESIS",-2.84544095745496
27,"Down",0.00477253309763512,0.192187638838043,"GOBP_ENTRAINMENT_OF_CIRCADIAN_CLOCK",-2.82199896710151
24,"Down",0.00478435089435153,0.192187638838043,"GOBP_REGULATION_OF_HETEROTYPIC_CELL_CELL_ADHESION",-2.82120573356686
38,"Down",0.00482114899853903,0.192187638838043,"GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS",-2.81874707939329
58,"Down",0.00482499033745175,0.192187638838043,"GOBP_POSITIVE_REGULATION_OF_MIRNA_METABOLIC_PROCESS",-2.81849140121805
30,"Down",0.00484885149427907,0.192187638838043,"GOBP_NEGATIVE_REGULATION_OF_DNA_REPAIR",-2.81690732391209
312,"Down",0.00485951158624256,0.192187638838043,"GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_ACTIVATION",-2.81620190755475
12,"Up",0.00489461090615893,0.192187638838043,"GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY",2.81388911221576
37,"Down",0.00501459461243871,0.195418375009548,"GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",-2.80609474061697
29,"Down",0.00511290052622845,0.197692756088701,"GOBP_NUCLEAR_TRANSCRIBED_MRNA_POLY_A_TAIL_SHORTENING",-2.79983328498331
466,"Down",0.00514924215164473,0.197692756088701,"GOBP_MONONUCLEAR_CELL_DIFFERENTIATION",-2.79754608044922
12,"Down",0.00542189030906164,0.206233950098374,"GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_PROLIFERATION",-2.78083729737789
11,"Down",0.00546309791312634,0.206233950098374,"GOBP_IRES_DEPENDENT_VIRAL_TRANSLATIONAL_INITIATION",-2.77837826754533
27,"Up",0.00549108337132463,0.206233950098374,"GOBP_REGULATION_OF_MONOCYTE_CHEMOTAXIS",2.77671778732513
40,"Down",0.00559280288332427,0.207729044486931,"GOBP_POSITIVE_T_CELL_SELECTION",-2.77074603960742
43,"Down",0.00561104885745135,0.207729044486931,"GOBP_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY",-2.76968523513194
49,"Down",0.00575048797030838,0.211381412412116,"GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION",-2.76167959770898
45,"Down",0.00594156343584654,0.216867065408399,"GOBP_T_HELPER_17_TYPE_IMMUNE_RESPONSE",-2.75098902252559
23,"Up",0.0063149299778387,0.227403761506661,"GOBP_PLATELET_MORPHOGENESIS",2.73096436281413
11,"Up",0.00631798990101469,0.227403761506661,"GOBP_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS",2.73080470285131
29,"Down",0.00641632201466507,0.228114102432387,"GOBP_MITOTIC_G1_S_TRANSITION_CHECKPOINT_SIGNALING",-2.72571064497278
18,"Down",0.00642574936429258,0.228114102432387,"GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR_RESULTING_IN_CELL_CYCLE_ARREST",-2.72522596199363
102,"Up",0.00648787439136002,0.228752741295367,"GOBP_SMOOTH_MUSCLE_CONTRACTION",2.72204786904092
242,"Down",0.00656093654545309,0.229139030092446,"GOBP_RRNA_METABOLIC_PROCESS",-2.71834511307635
12,"Down",0.0065887103483162,0.229139030092446,"GOBP_PROTEIN_FOLDING_IN_ENDOPLASMIC_RETICULUM",-2.71694727166099
68,"Down",0.00663145948560039,0.229139030092446,"GOBP_REGULATION_OF_MIRNA_TRANSCRIPTION",-2.7148060492464
